"Entity[34098] Report(D000000)", , , , , ,"Entity[34098] Report(D000000[0100])", ,"Entity[34098] Report(D000000[0300])","Entity[34098] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(00100)", , , , ,"1892770"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(00200)", , , , ,"8560"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(00300)", , , , ,"221"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(00400)", ,"7514"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(00500)", ,"1661496"
"HOSPC","hospc_2013_DATA",34098,"D000000","Line(01200)", , , ,"1046"
