"Entity[33665] Report(D000000)", , , , , ,"Entity[33665] Report(D000000[0100])", , ,"Entity[33665] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33665,"D000000","Line(00100)", , , , ,"511957"
"HOSPC","hospc_2013_DATA",33665,"D000000","Line(00200)", , , , ,"3414"
"HOSPC","hospc_2013_DATA",33665,"D000000","Line(00300)", , , , ,"150"
"HOSPC","hospc_2013_DATA",33665,"D000000","Line(00400)", ,"3414"
