"Entity[33665] Report(B000000)", , , , ,"Entity[33665] Report(B000000[0000])","Entity[33665] Report(B000000[0100])", , , ,"Entity[33665] Report(B000000[0500])","Entity[33665] Report(B000000[0600])","Entity[33665] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(00100)","21915","21915"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(00500)", ,"73", , , ,"73"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(00600)","98189","7330", , , ,"73","105592"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(01000)","850", , , , , ,"189","1039"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(01100)","2545", , , , , ,"566","3111"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(01500)","22174","147", , , , ,"4966","27287"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(01600)","180255","7329", , , , ,"41735","229319"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(02000)","10604","366", , , , ,"2441","13411"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(02100)","21028","293", , , , ,"4743","26064"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(02400)","94456","5131", , , , ,"22156","121743"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03000)","33278","147", , , , ,"7436","40861"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03100)","6958", , , , , ,"1548","8506"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03200)", ,"73", , , , ,"16","89"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03400)","116","73", , , , ,"42","231"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03500)","14655","220", , , , ,"3309","18184"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03600)", ,"73", , , , ,"16","89"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(03900)","8990", , , , , ,"2000","10990"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(05000)","3434","147", , , , ,"797","4378"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(05100)","5151","293", , , , ,"1211","6655"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(05300)","55609","220", , , , ,"12421","68250"
"Entity[33665] Report(B10000*)", , , , , ,"Entity[33665] Report(B10000*[0100])","Entity[33665] Report(B10000*[0200])","Entity[33665] Report(B10000*[0300])","Entity[33665] Report(B10000*[0400])","Entity[33665] Report(B10000*[0500])","Entity[33665] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33665,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33665,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33665,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33665,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33665,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[33665] Report(B100000)", , , , , ,"Entity[33665] Report(B100000[0100])", ,"Entity[33665] Report(B100000[0300])","Entity[33665] Report(B100000[0400])","Entity[33665] Report(B100000[0500])","Entity[33665] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00100)", ,"2990"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00300)", , , ,"100"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00400)", , , , ,"15290"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00500)", ,"10", , , ,"343"
