"Entity[33820] Report(B000000)", , , , ,"Entity[33820] Report(B000000[0000])","Entity[33820] Report(B000000[0100])", , , , ,"Entity[33820] Report(B000000[0600])","Entity[33820] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(00100)","38154","38154"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(00600)","94753","15385", , , , ,"110138"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(01600)","177634","14121", , , , ,"66808","258563"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(02000)","65424","4171", , , , ,"24247","93842"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(03000)","13361", , , , , ,"4655","18016"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(03100)","19236", , , , , ,"6702","25938"
"HOSPC","hospc_2013_DATA",33820,"B000000","Line(03500)","17697","4477", , , , ,"7726","29900"
"Entity[33820] Report(B10000*)", , , , , ,"Entity[33820] Report(B10000*[0100])", ,"Entity[33820] Report(B10000*[0300])","Entity[33820] Report(B10000*[0400])", ,"Entity[33820] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33820,"B10000*","Line(00100)", ,"CAPITAL", ,"PLANT","TRANS-", ,"ADMINIS-"
"HOSPC","hospc_2013_DATA",33820,"B10000*","Line(00200)", ,"BLDGS &", ,"OPER. &","PORTAT-", ,"TRATIVE &"
"HOSPC","hospc_2013_DATA",33820,"B10000*","Line(00300)", ,"FIXTURES", ,"MAINT.","ION", ,"GENERAL"
"HOSPC","hospc_2013_DATA",33820,"B10000*","Line(00400)", ,"SQUARE", ,"SQUARE","MILEAGE", ,"ACCUM."
"HOSPC","hospc_2013_DATA",33820,"B10000*","Line(00500)", ,"FEET", ,"FEET", , ,"COSTS"
"Entity[33820] Report(B100000)", , , , , ,"Entity[33820] Report(B100000[0100])", ,"Entity[33820] Report(B100000[0300])","Entity[33820] Report(B100000[0400])", ,"Entity[33820] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(00100)", ,"997"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(00300)", , , ,"997"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(00400)", , , , ,"105734"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(00600)", ,"402", ,"402","8521", ,"316121"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(01600)", ,"369", ,"369","78796", ,"191755"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(02000)", ,"109", ,"109","18417", ,"69595"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(03000)", , , , , , ,"13361"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(03100)", , , , , , ,"19236"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(03500)", ,"117", ,"117", , ,"22174"
"HOSPC","hospc_2013_DATA",33820,"B100000","Line(10000)", ,"38154", , , , ,"110138"
