"Entity[34044] Report(G000000)", , , , , ,"Entity[34044] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(00100)", ,"156027"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(00400)", ,"102702"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(00500)", ,"-30000"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(01100)", ,"228729"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(01500)", ,"1324"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(01600)", ,"221"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(01900)", ,"7925"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(02000)", ,"3996"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(02700)", ,"5032"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(02900)", ,"833"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(03200)", ,"833"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(03300)", ,"234594"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(03400)", ,"96705"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(03500)", ,"14001"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(03700)", ,"266745"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(04200)", ,"377451"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(05000)", ,"377451"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(05100)", ,"-142857"
"HOSPC","hospc_2013_DATA",34044,"G000000","Line(05800)", ,"-142857"
"Entity[34044] Report(G100000)", , , , , ,"Entity[34044] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34044,"G100000","Line(00100)", ,"-245250"
"HOSPC","hospc_2013_DATA",34044,"G100000","Line(00200)", ,"102393"
"HOSPC","hospc_2013_DATA",34044,"G100000","Line(00300)", ,"-142857"
"HOSPC","hospc_2013_DATA",34044,"G100000","Line(01100)", ,"-142857"
"Entity[34044] Report(G200001)", , , , , ,"Entity[34044] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34044,"G200001","Line(00400)", ,"605650"
"Entity[34044] Report(G200002)", , , , , , ,"Entity[34044] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34044,"G200002","Line(00100)", , ,"503257"
"HOSPC","hospc_2013_DATA",34044,"G200002","Line(01500)", , ,"503257"
