"Entity[33957] Report(D000000)", , , , , ,"Entity[33957] Report(D000000[0100])","Entity[33957] Report(D000000[0200])", ,"Entity[33957] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00100)", , , , ,"1013620"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00200)", , , , ,"13880"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00300)", , , , ,"73"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00400)", ,"13771"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00500)", ,"1005696"
"HOSPC","hospc_2013_DATA",33957,"D000000","Line(00600)", , ,"109"
