"Entity[34010] Report(D000000)", , , , , ,"Entity[34010] Report(D000000[0100])","Entity[34010] Report(D000000[0200])", ,"Entity[34010] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00100)", , , , ,"2202949"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00200)", , , , ,"17218"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00300)", , , , ,"128"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00400)", ,"17206"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00500)", ,"2201336"
"HOSPC","hospc_2013_DATA",34010,"D000000","Line(00600)", , ,"12"
