"Entity[34010] Report(B000000)", , , , ,"Entity[34010] Report(B000000[0000])", , , , ,"Entity[34010] Report(B000000[0500])","Entity[34010] Report(B000000[0600])","Entity[34010] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(00500)","65247", , , , ,"65247"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(00600)","548663", , , , ,"65247","613910"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(01600)","803143", , , , , ,"310286","1113429"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(02000)","81906", , , , , ,"31644","113550"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(02100)","134374", , , , , ,"51914","186288"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03000)","272041", , , , , ,"105100","377141"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03100)","18574", , , , , ,"7176","25750"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03200)","2083", , , , , ,"805","2888"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03300)","7908", , , , , ,"3055","10963"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03400)","6066", , , , , ,"2344","8410"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03500)","259249", , , , , ,"100158","359407"
"HOSPC","hospc_2013_DATA",34010,"B000000","Line(03900)","3695", , , , , ,"1428","5123"
"Entity[34010] Report(B10000*)", , , , , ,"Entity[34010] Report(B10000*[0100])","Entity[34010] Report(B10000*[0200])","Entity[34010] Report(B10000*[0300])","Entity[34010] Report(B10000*[0400])","Entity[34010] Report(B10000*[0500])","Entity[34010] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34010,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34010,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34010,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34010,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","DOLLAR","HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",34010,"B10000*","Line(00500)", ,"FEET","VALUE","FEET","VALUE", ,"COSTS"
"Entity[34010] Report(B100000)", , , , , , , , , ,"Entity[34010] Report(B100000[0500])","Entity[34010] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(00500)", , , , , ,"1"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(00600)", , , , , ,"1","1589039"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(01600)", , , , , , ,"803143"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(02000)", , , , , , ,"81906"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(02100)", , , , , , ,"134374"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03000)", , , , , , ,"272041"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03100)", , , , , , ,"18574"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03200)", , , , , , ,"2083"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03300)", , , , , , ,"7908"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03400)", , , , , , ,"6066"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03500)", , , , , , ,"259249"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(03900)", , , , , , ,"3695"
"HOSPC","hospc_2013_DATA",34010,"B100000","Line(10000)", , , , , ,"65247"
