"Entity[33985] Report(B000000)", , , , ,"Entity[33985] Report(B000000[0000])","Entity[33985] Report(B000000[0100])","Entity[33985] Report(B000000[0200])", , ,"Entity[33985] Report(B000000[0500])","Entity[33985] Report(B000000[0600])","Entity[33985] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(00100)","37800","37800"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(00200)","4013", ,"4013"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(00500)","43892","1303","136", , ,"45331"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(00600)","593892","20362","2199", , ,"8822","625275"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(01000)","2652", , , , , ,"742","3394"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(01500)","22375", , , , , ,"6262","28637"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(01600)","762296","9385","976", , , ,"216236","988893"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(02000)","170646","3621","377", , , ,"48875","223519"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(02100)","50030","1043","108", , , ,"14323","65504"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(02400)","159655","2086","217", , ,"36509","55542","254009"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(03000)","119037", , , , , ,"33313","152350"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(03100)","83737", , , , , ,"23434","107171"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(03400)","37147", , , , , ,"10396","47543"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(05000)","55490", , , , , ,"15529","71019"
"HOSPC","hospc_2013_DATA",33985,"B000000","Line(05300)","716878", , , , , ,"200623","917501"
"Entity[33985] Report(B10000*)", , , , , ,"Entity[33985] Report(B10000*[0100])","Entity[33985] Report(B10000*[0200])", , ,"Entity[33985] Report(B10000*[0500])","Entity[33985] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33985,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL", , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33985,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE", , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33985,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT", , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33985,"B10000*","Line(00400)", ,"SQUARE","DOLLAR", , ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33985,"B10000*","Line(00500)", ,"FEET","VALUE", , ,"SERVICE","COSTS"
"Entity[33985] Report(B100000)", , , , , ,"Entity[33985] Report(B100000[0100])","Entity[33985] Report(B100000[0200])", , ,"Entity[33985] Report(B100000[0500])","Entity[33985] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(00100)", ,"1305"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(00200)", , ,"1332"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(00500)", ,"45","45", , ,"1300"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(00600)", ,"703","730", , ,"253","2234265"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(01000)", , , , , , ,"2652"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(01500)", , , , , , ,"22375"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(01600)", ,"324","324", , , ,"772657"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(02000)", ,"125","125", , , ,"174644"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(02100)", ,"36","36", , , ,"51181"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(02400)", ,"72","72", , ,"1047","198467"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(03000)", , , , , , ,"119037"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(03100)", , , , , , ,"83737"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(03400)", , , , , , ,"37147"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(05000)", , , , , , ,"55490"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(05300)", , , , , , ,"716878"
"HOSPC","hospc_2013_DATA",33985,"B100000","Line(10000)", ,"37800","4013", , ,"45331","625275"
