"Entity[33985] Report(G000000)", , , , , ,"Entity[33985] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(00100)", ,"280983"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(00400)", ,"454054"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(00600)", ,"24000"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(00800)", ,"5644"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(00900)", ,"12273"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(01100)", ,"728954"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(02300)", ,"55606"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(02400)", ,"38259"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(02700)", ,"17347"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(03300)", ,"746301"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(03400)", ,"248864"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(03500)", ,"115081"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(03600)", ,"3976"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(03700)", ,"50000"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(04100)", ,"1200"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(04200)", ,"419121"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(05000)", ,"419121"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(05100)", ,"224072"
"HOSPC","hospc_2013_DATA",33985,"G000000","Line(05800)", ,"224072"
"Entity[33985] Report(G100000)", , , , ,"Entity[33985] Report(G100000[0000])","Entity[33985] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(00100)", ,"332497"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(00200)", ,"-108425"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(00300)", ,"224072"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(01100)", ,"224072"
"HOSPC","hospc_2013_DATA",33985,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"Entity[33985] Report(G200001)", , , , , ,"Entity[33985] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33985,"G200001","Line(00100)", ,"842087"
"HOSPC","hospc_2013_DATA",33985,"G200001","Line(00300)", ,"1909028"
"HOSPC","hospc_2013_DATA",33985,"G200001","Line(00500)", ,"634550"
"Entity[33985] Report(G200002)", , , , ,"Entity[33985] Report(G200002[0000])", ,"Entity[33985] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33985,"G200002","Line(00100)", , ,"2859540"
"HOSPC","hospc_2013_DATA",33985,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",33985,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",33985,"G200002","Line(01500)", , ,"2859540"
