"Entity[34108] Report(D000000)", , , , , ,"Entity[34108] Report(D000000[0100])", , ,"Entity[34108] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00100)", , , , ,"1388277"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00200)", , , , ,"3409"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00300)", , , , ,"407"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00400)", ,"3409"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00500)", ,"1388281"
"HOSPC","hospc_2013_DATA",34108,"D000000","Line(00800)", ,"277"
