"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34769","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34769] Report(S000000[0100])","Entity[34769] Report(S000000[0200])","Entity[34769] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S000000","Line(00100)", ,"1","05/27/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34769","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34769] Report(S100000[0100])","Entity[34769] Report(S100000[0200])","Entity[34769] Report(S100000[0300])","Entity[34769] Report(S100000[0400])","Entity[34769] Report(S100000[0500])","Entity[34769] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00100)", ,"HOSPICE OF THE LAKES","8170 33RD AVE S","BLOOMINGTON","MN","55440", , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00200)", ,"HENNEPIN", , , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00300)", ,"01/01/1996", , , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00400)", ,"01/01/1996","01/01/1996", , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00600)", ,"241520", , , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00700)", ,"2", , , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00800)", ,"5", ,"3", , ,"5", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(00900)", ,"54748","819","32736","99","4454","60021", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01000)", ,"24", ,"24", ,"9","33", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01100)", ,"224", ,"14", ,"37","261", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01200)", ,"55001","819","32777","99","4500","60320", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01300)", ,"699","13","517","7","98","810", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01400)", ,"125", , , , , , , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01500)", ,"79","63","63","14","46","74", , , , , , , , , 
"hospc_2013_DATA",34769,"S100000","Line(01600)", ,"571","7","413","6","54","632", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
