"Entity[33732] Report(B000000)", , , , ,"Entity[33732] Report(B000000[0000])","Entity[33732] Report(B000000[0100])","Entity[33732] Report(B000000[0200])","Entity[33732] Report(B000000[0300])", ,"Entity[33732] Report(B000000[0500])","Entity[33732] Report(B000000[0600])","Entity[33732] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(00100)","24257","24257"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(00200)","3908", ,"3908"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(00300)","5060", , ,"5060"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(00500)", ,"1283","207","268", ,"1758"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(00600)","398763","17583","2834","3668", ,"1758","424606"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(01600)","169863","2225","358","464", , ,"240033","412943"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(02000)","13955","1027","165","214", , ,"21324","36685"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(02100)","17705","1027","165","214", , ,"26530","45641"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(02400)","31330","1112","179","232", , ,"45606","78459"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03000)","31324", , , , , ,"43484","74808"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03100)","18558", , , , , ,"25762","44320"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03200)","363", , , , , ,"504","867"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03300)","69", , , , , ,"96","165"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03400)","39", , , , , ,"54","93"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(03500)","15281", , , , , ,"21213","36494"
"HOSPC","hospc_2013_DATA",33732,"B000000","Line(05300)","386643", , , , , , ,"386643"
"Entity[33732] Report(B10000*)", , , , , ,"Entity[33732] Report(B10000*[0100])","Entity[33732] Report(B10000*[0200])","Entity[33732] Report(B10000*[0300])", ,"Entity[33732] Report(B10000*[0500])","Entity[33732] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33732,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT", ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33732,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &", ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33732,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.", ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33732,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE", ,"HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",33732,"B10000*","Line(00500)", ,"FEET","FEET","FEET", , ,"COSTS"
"Entity[33732] Report(B100000)", , , , , ,"Entity[33732] Report(B100000[0100])","Entity[33732] Report(B100000[0200])","Entity[33732] Report(B100000[0300])", ,"Entity[33732] Report(B100000[0500])","Entity[33732] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00100)", ,"1701"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00200)", , ,"1701"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00300)", , , ,"1701"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00500)", ,"90","90","90", ,"100"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(00600)", ,"1233","1233","1233", ,"100","305869"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(01600)", ,"156","156","156", , ,"172910"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(02000)", ,"72","72","72", , ,"15361"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(02100)", ,"72","72","72", , ,"19111"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(02400)", ,"78","78","78", , ,"32853"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03000)", , , , , , ,"31324"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03100)", , , , , , ,"18558"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03200)", , , , , , ,"363"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03300)", , , , , , ,"69"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03400)", , , , , , ,"39"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(03500)", , , , , , ,"15281"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(05300)"
"HOSPC","hospc_2013_DATA",33732,"B100000","Line(10000)", ,"24257","3908","5060", ,"1758","424606"
