"Entity[34084] Report(G000000)", , , , , ,"Entity[34084] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(00400)", ,"-21579"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(00600)", ,"6664"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(00800)", ,"2029"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(01100)", ,"-26214"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(01900)", ,"19232"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(02000)", ,"15996"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(02300)", ,"25223"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(02400)", ,"10984"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(02700)", ,"17475"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(02900)", ,"2076"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(03100)", ,"2216938"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(03200)", ,"2219014"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(03300)", ,"2210275"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(03400)", ,"12405"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(03500)", ,"27045"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(04200)", ,"39450"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(04800)", ,"464155"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(04900)", ,"464155"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(05000)", ,"503605"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(05100)", ,"1706670"
"HOSPC","hospc_2013_DATA",34084,"G000000","Line(05800)", ,"1706670"
"Entity[34084] Report(G100000)", , , , , ,"Entity[34084] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34084,"G100000","Line(00100)", ,"1378150"
"HOSPC","hospc_2013_DATA",34084,"G100000","Line(00200)", ,"328520"
"HOSPC","hospc_2013_DATA",34084,"G100000","Line(00300)", ,"1706670"
"HOSPC","hospc_2013_DATA",34084,"G100000","Line(01100)", ,"1706670"
"Entity[34084] Report(G200001)", , , , , ,"Entity[34084] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34084,"G200001","Line(00300)", ,"2076452"
"Entity[34084] Report(G200002)", , , , ,"Entity[34084] Report(G200002[0000])","Entity[34084] Report(G200002[0100])","Entity[34084] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00100)", , ,"1596351"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00200)","R & B EXPENSE","465547"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00300)","INDIGENT","3811"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00400)","REVENUE LOST FROM CAP OVERAGE","122174"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00500)","GAIN/LOSS SALE OF ASSETS","199"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00800)", , ,"591731"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(00900)","R & B REVENUE","440150"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(01400)", , ,"440150"
"HOSPC","hospc_2013_DATA",34084,"G200002","Line(01500)", , ,"1747932"
