"Entity[33085] Report(D000000)", , , , , ,"Entity[33085] Report(D000000[0100])", , ,"Entity[33085] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33085,"D000000","Line(00100)", , , , ,"117154"
"HOSPC","hospc_2013_DATA",33085,"D000000","Line(00200)", , , , ,"30"
"HOSPC","hospc_2013_DATA",33085,"D000000","Line(00300)", , , , ,"3905"
"HOSPC","hospc_2013_DATA",33085,"D000000","Line(00400)", ,"30"
