"Entity[33814] Report(D000000)", , , , , ,"Entity[33814] Report(D000000[0100])","Entity[33814] Report(D000000[0200])", ,"Entity[33814] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00100)", , , , ,"123001"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00200)", , , , ,"1275"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00300)", , , , ,"96"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00400)", ,"1133"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00500)", ,"109301"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00600)", , ,"142"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00700)", , ,"13699"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00800)", ,"663"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(00900)", ,"63960"
"HOSPC","hospc_2013_DATA",33814,"D000000","Line(01000)", , ,"107"
