"Entity[33976] Report(B000000)", , , , ,"Entity[33976] Report(B000000[0000])","Entity[33976] Report(B000000[0100])","Entity[33976] Report(B000000[0200])", , , ,"Entity[33976] Report(B000000[0600])","Entity[33976] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(00100)","1883","1883"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(00200)","39448", ,"39448"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(00600)","364881", , , , , ,"364881"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(01500)","193", , , , , ,"81","274"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(01600)","568905","1883","39448", , , ,"255942","866178"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(02000)","154134", , , , , ,"64646","218780"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(02100)","64098", , , , , ,"26884","90982"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(02500)","37266", , , , , ,"15630","52896"
"HOSPC","hospc_2013_DATA",33976,"B000000","Line(03100)","4049", , , , , ,"1698","5747"
"Entity[33976] Report(B10000*)", , , , , ,"Entity[33976] Report(B10000*[0100])","Entity[33976] Report(B10000*[0200])","Entity[33976] Report(B10000*[0300])", ,"Entity[33976] Report(B10000*[0500])","Entity[33976] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33976,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT", ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33976,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &", ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33976,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.", ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33976,"B10000*","Line(00400)", ,"100%","100%","100%", ,"100%","ACCUM."
"HOSPC","hospc_2013_DATA",33976,"B10000*","Line(00500)", , , , , , ,"COSTS"
"Entity[33976] Report(B100000)", , , , , ,"Entity[33976] Report(B100000[0100])","Entity[33976] Report(B100000[0200])","Entity[33976] Report(B100000[0300])", ,"Entity[33976] Report(B100000[0500])","Entity[33976] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00100)", ,"100"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00200)", , ,"100"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00300)", , , ,"100"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00500)", , , , , ,"100"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(00600)", , , , , , ,"869976"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(01500)", , , , , , ,"193"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(01600)", ,"100","100","100", ,"100","610236"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(02000)", , , , , , ,"154134"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(02100)", , , , , , ,"64098"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(02500)", , , , , , ,"37266"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(03100)", , , , , , ,"4049"
"HOSPC","hospc_2013_DATA",33976,"B100000","Line(10000)", ,"1883","39448", , , ,"364881"
