"Entity[33896] Report(B000000)", , , , ,"Entity[33896] Report(B000000[0000])","Entity[33896] Report(B000000[0100])","Entity[33896] Report(B000000[0200])","Entity[33896] Report(B000000[0300])","Entity[33896] Report(B000000[0400])","Entity[33896] Report(B000000[0500])","Entity[33896] Report(B000000[0600])","Entity[33896] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00100)","415857","415857"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00200)","8036", ,"8036"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00300)","132083", , ,"132083"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00400)","5336", , , ,"5336"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00500)","36336","1290","25","410", ,"38061"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(00600)","349469","137197","2651","43576", ,"38061","570954"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(01000)","576570","269987","5217","85752", , ,"298606","1236132"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(01500)","8010", , , , , ,"2551","10561"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(01600)","279574","2858","55","908", , ,"90262","373657"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(02000)","44330","1330","26","422", , ,"14686","60794"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(02100)","18883","655","13","208", , ,"6293","26052"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(02400)","36959", , , , , ,"11772","48731"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(03000)","37926", , , , , ,"12080","50006"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(03100)","35378", , , , , ,"11268","46646"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(03200)","5942", , , , , ,"1893","7835"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(03500)","4459","1905","37","605", , ,"2231","9237"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(05000)","12733","635","12","202", , ,"4326","17908"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(05100)","1210", , , , , ,"385","1595"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(05200)","286848", , , ,"5336", ,"93062","385246"
"HOSPC","hospc_2013_DATA",33896,"B000000","Line(05300)","67625", , , , , ,"21539","89164"
"Entity[33896] Report(B10000*)", , , , , ,"Entity[33896] Report(B10000*[0100])","Entity[33896] Report(B10000*[0200])","Entity[33896] Report(B10000*[0300])","Entity[33896] Report(B10000*[0400])","Entity[33896] Report(B10000*[0500])","Entity[33896] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33896,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33896,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
