"Entity[34035] Report(D000000)", , , , , ,"Entity[34035] Report(D000000[0100])","Entity[34035] Report(D000000[0200])","Entity[34035] Report(D000000[0300])","Entity[34035] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00100)", , , , ,"7120132"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00200)", , , , ,"45114"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00300)", , , , ,"158"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00400)", ,"38730"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00500)", ,"6112756"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00600)", , ,"4021"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(00700)", , ,"634634"
"HOSPC","hospc_2013_DATA",34035,"D000000","Line(01200)", , , ,"2363"
