"Entity[33883] Report(B000000)", , , , ,"Entity[33883] Report(B000000[0000])","Entity[33883] Report(B000000[0100])","Entity[33883] Report(B000000[0200])","Entity[33883] Report(B000000[0300])", ,"Entity[33883] Report(B000000[0500])", ,"Entity[33883] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00100)","189027","189027"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00200)","117158", ,"117158"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00300)","331076","8530","5287","344893"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00500)","175937","3225","1999","6162", ,"187323"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00601)","3044731","121736","75451","232613", ,"42124"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(00602)","1924089", , , , ,"145199"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01000)","1791330","18687","11582","35707", , , ,"3153080"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01100)","4220", , , , , , ,"7164"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01500)","127596","1714","1062","3275", , , ,"226888"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01600)","2369302","13748","8521","26270", , , ,"4104681"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01620)", ,"717","445","1371", , , ,"4300"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01700)","208060", , , , , , ,"353216"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01800)","1021", , , , , , ,"1733"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(01900)","1042", , , , , , ,"1769"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(02000)","516036","6127","3797","11707", , , ,"912778"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(02100)","353857","1692","1049","3233", , , ,"610872"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(02400)","646005","1232","764","2354", , , ,"1104084"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(02500)","13176", , , , , , ,"22368"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03000)","628452","695","431","1329", , , ,"1071067"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03100)","566994", , , , , , ,"962565"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03200)","59687", , , , , , ,"101328"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03400)","75775", , , , , , ,"128640"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03500)","151575","6494","4025","12408", , , ,"296246"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03700)","5456", , , , , , ,"9263"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(03800)","1280", , , , , , ,"2173"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(05000)","372776","1796","1113","3432", , , ,"507304"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(05200)", ,"2634","1632","5032", , , ,"12442"
"HOSPC","hospc_2013_DATA",33883,"B000000","Line(05300)","241622", , , , , , ,"323319"
