"Entity[34105] Report(B000000)", , , , ,"Entity[34105] Report(B000000[0000])", , , , , ,"Entity[34105] Report(B000000[0600])","Entity[34105] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34105,"B000000","Line(00600)","753410", , , , , ,"753410"
"HOSPC","hospc_2013_DATA",34105,"B000000","Line(01600)","201262", , , , , ,"585078","786340"
"HOSPC","hospc_2013_DATA",34105,"B000000","Line(01700)","21414", , , , , ,"62251","83665"
"HOSPC","hospc_2013_DATA",34105,"B000000","Line(02000)","21731", , , , , ,"63173","84904"
"HOSPC","hospc_2013_DATA",34105,"B000000","Line(02400)","14760", , , , , ,"42908","57668"
"Entity[34105] Report(B10000*)", , , , , ,"Entity[34105] Report(B10000*[0100])","Entity[34105] Report(B10000*[0200])","Entity[34105] Report(B10000*[0300])","Entity[34105] Report(B10000*[0400])","Entity[34105] Report(B10000*[0500])","Entity[34105] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34105,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34105,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34105,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34105,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",34105,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[34105] Report(B100000)", , , , , ,"Entity[34105] Report(B100000[0100])","Entity[34105] Report(B100000[0200])","Entity[34105] Report(B100000[0300])","Entity[34105] Report(B100000[0400])","Entity[34105] Report(B100000[0500])","Entity[34105] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00100)", ,"1000"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00200)", , ,"1000"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00300)", , , ,"1000"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00400)", , , , ,"1000"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00500)", , , , , ,"1000"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(00600)", ,"1000","1000","1000","1000","1000","259167"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(01600)", , , , , , ,"201262"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(01700)", , , , , , ,"21414"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(02000)", , , , , , ,"21731"
"HOSPC","hospc_2013_DATA",34105,"B100000","Line(02400)", , , , , , ,"14760"
