"Entity[34105] Report(G000000)", , , , , ,"Entity[34105] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(00100)", ,"109086"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(00400)", ,"11597"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(00900)", ,"5065"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(01100)", ,"125748"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(01700)", ,"4000"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(01900)", ,"20300"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(02100)", ,"402517"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(02200)", ,"281850"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(02300)", ,"5606"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(02700)", ,"150573"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(03300)", ,"276321"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(04100)", ,"52669"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(04200)", ,"52669"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(04700)", ,"325562"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(04900)", ,"325562"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(05000)", ,"378231"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(05100)", ,"-101910"
"HOSPC","hospc_2013_DATA",34105,"G000000","Line(05800)", ,"-101910"
"Entity[34105] Report(G100000)", , , , , ,"Entity[34105] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34105,"G100000","Line(00100)", ,"-771028"
"HOSPC","hospc_2013_DATA",34105,"G100000","Line(00200)", ,"669118"
"HOSPC","hospc_2013_DATA",34105,"G100000","Line(00300)", ,"-101910"
"HOSPC","hospc_2013_DATA",34105,"G100000","Line(01100)", ,"-101910"
"Entity[34105] Report(G200001)", , , , , ,"Entity[34105] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34105,"G200001","Line(00400)", ,"1688809"
"Entity[34105] Report(G200002)", , , , , , ,"Entity[34105] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34105,"G200002","Line(00100)", , ,"1019691"
"HOSPC","hospc_2013_DATA",34105,"G200002","Line(01500)", , ,"1019691"
