"Entity[33954] Report(G000000)", , , , , ,"Entity[33954] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(00100)", ,"2075"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(00400)", ,"2702436"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(00700)", ,"47993"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(00800)", ,"13727"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(01100)", ,"2766231"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(02300)", ,"54253"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(02400)", ,"43712"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(02700)", ,"10541"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(03300)", ,"2776772"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(03500)", ,"83154"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(04000)", ,"-24750809"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(04200)", ,"-24667655"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(05000)", ,"-24667655"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(05100)", ,"27444427"
"HOSPC","hospc_2013_DATA",33954,"G000000","Line(05800)", ,"27444427"
"Entity[33954] Report(G100000)", , , , ,"Entity[33954] Report(G100000[0000])","Entity[33954] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(00100)", ,"25517852"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(00200)", ,"1926575"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(00300)", ,"27444427"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(01100)", ,"27444427"
"HOSPC","hospc_2013_DATA",33954,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"Entity[33954] Report(G200001)", , , , , ,"Entity[33954] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33954,"G200001","Line(00300)", ,"11983154"
"Entity[33954] Report(G200002)", , , , ,"Entity[33954] Report(G200002[0000])", ,"Entity[33954] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33954,"G200002","Line(00100)", , ,"10056579"
"HOSPC","hospc_2013_DATA",33954,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",33954,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",33954,"G200002","Line(01500)", , ,"10056579"
