"Entity[33858] Report(B000000)", , , , ,"Entity[33858] Report(B000000[0000])","Entity[33858] Report(B000000[0100])","Entity[33858] Report(B000000[0200])","Entity[33858] Report(B000000[0300])", ,"Entity[33858] Report(B000000[0500])","Entity[33858] Report(B000000[0600])","Entity[33858] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(00100)","216630","216630"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(00200)","16410", ,"16410"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(00300)","210343","4744","359","215446"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(00500)","50121","1066","81","1084", ,"52352"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(00600)","1025840","64282","4869","65362", ,"11934","1172287"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01000)","1055364","135488","10263","137764", , ,"454038","1792917"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01100)","67364", , , , , ,"22844","90208"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01500)","70932", , , , , ,"24054","94986"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01600)","1096837","4112","312","4181", ,"39175","388160","1532777"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01700)","12355", , , , , ,"4190","16545"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(01900)","1711", , , , , ,"580","2291"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(02000)","120712","1371","104","1394", , ,"41909","165490"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(02100)","109680","2894","219","2943", , ,"39248","154984"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03000)","228506", , , , , ,"77490","305996"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03100)","214912", , , , , ,"72881","287793"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03200)","51979", , , , , ,"17627","69606"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03300)","840", , , , , ,"285","1125"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03400)","1644", , , , , ,"558","2202"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03500)", ,"1911","145","1944", , ,"1356","5356"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03600)","16", , , , , ,"5","21"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(03900)","1167", , , , , ,"396","1563"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(05000)","49677","762","58","774", , ,"17387","68658"
"HOSPC","hospc_2013_DATA",33858,"B000000","Line(05200)","26118", , , , ,"1243","9279","36640"
"Entity[33858] Report(B10000*)", , , , , ,"Entity[33858] Report(B10000*[0100])","Entity[33858] Report(B10000*[0200])","Entity[33858] Report(B10000*[0300])","Entity[33858] Report(B10000*[0400])","Entity[33858] Report(B10000*[0500])","Entity[33858] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33858,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33858,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33858,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33858,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE","MILEAGE","HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",33858,"B10000*","Line(00500)", ,"FEET","FEET","FEET", , ,"COSTS"
"Entity[33858] Report(B100000)", , , , , ,"Entity[33858] Report(B100000[0100])","Entity[33858] Report(B100000[0200])","Entity[33858] Report(B100000[0300])","Entity[33858] Report(B100000[0400])","Entity[33858] Report(B100000[0500])","Entity[33858] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33858,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33858,"B100000","Line(00100)", ,"28446"
