"Entity[34007] Report(D000000)", , , , , ,"Entity[34007] Report(D000000[0100])","Entity[34007] Report(D000000[0200])","Entity[34007] Report(D000000[0300])","Entity[34007] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00100)", , , , ,"488832"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00200)", , , , ,"3522"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00300)", , , , ,"139"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00400)", ,"3148"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00500)", ,"436911"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00600)", , ,"99"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(00700)", , ,"13740"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(01000)", , ,"55"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(01100)", , ,"7633"
"HOSPC","hospc_2013_DATA",34007,"D000000","Line(01200)", , , ,"275"
