"Entity[34107] Report(B000000)", , , , ,"Entity[34107] Report(B000000[0A00])", , , , , ,"Entity[34107] Report(B000000[0600])","Entity[34107] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34107,"B000000","Line(00600)","3230", , , , , ,"3230"
"HOSPC","hospc_2013_DATA",34107,"B000000","Line(05300)","33152", , , , , ,"3230","36382"
"Entity[34107] Report(B10000*)", , , , , , , , , , ,"Entity[34107] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34107,"B10000*","Line(00100)", , , , , , ,"ADMINIS-"
"HOSPC","hospc_2013_DATA",34107,"B10000*","Line(00200)", , , , , , ,"TRATIVE &"
"HOSPC","hospc_2013_DATA",34107,"B10000*","Line(00300)", , , , , , ,"GENERAL"
"HOSPC","hospc_2013_DATA",34107,"B10000*","Line(00400)", , , , , , ,"ACCUM."
"HOSPC","hospc_2013_DATA",34107,"B10000*","Line(00500)", , , , , , ,"COSTS"
"Entity[34107] Report(B100000)", , , , , , , , , , ,"Entity[34107] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34107,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34107,"B100000","Line(00600)", , , , , , ,"33152"
"HOSPC","hospc_2013_DATA",34107,"B100000","Line(05300)", , , , , , ,"33152"
"HOSPC","hospc_2013_DATA",34107,"B100000","Line(10000)", , , , , , ,"3230"
