"Entity[33966] Report(D000000)", , , , , ,"Entity[33966] Report(D000000[0100])","Entity[33966] Report(D000000[0200])", ,"Entity[33966] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00100)", , , , ,"849775"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00200)", , , , ,"17101"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00300)", , , , ,"50"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00400)", ,"16760"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00500)", ,"832804"
"HOSPC","hospc_2013_DATA",33966,"D000000","Line(00600)", , ,"341"
