"Entity[33972] Report(B000000)", , , , ,"Entity[33972] Report(B000000[0000])","Entity[33972] Report(B000000[0100])","Entity[33972] Report(B000000[0200])","Entity[33972] Report(B000000[0300])","Entity[33972] Report(B000000[0400])","Entity[33972] Report(B000000[0500])","Entity[33972] Report(B000000[0600])","Entity[33972] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00100)","47130","47130"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00200)","7305", ,"7305"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00300)","16377","1828","283","18488"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00400)","4323", , , ,"4323"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00500)", ,"630","98","257","1153","2138"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(00600)","1398815","29038","4502","11850","288","2138","1446631"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(01000)","61291", , , , , ,"236109","297400"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(01500)","6963", , , , , ,"26823","33786"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(01600)", ,"7893","1223","3221","2594", ,"57518","72449"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(02100)", ,"1538","238","628", , ,"9261","11665"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(02300)", ,"2143","332","875", , ,"12905","16255"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(02400)", ,"504","78","206","288", ,"4145","5221"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03000)","120499", , , , , ,"464194","584693"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03100)","68527","3026","469","1235", , ,"282205","355462"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03200)","23343", , , , , ,"89923","113266"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03500)","36333", , , , , ,"139964","176297"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03600)","8236", , , , , ,"31727","39963"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(03900)","8921", , , , , ,"34366","43287"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(05000)","1697", , , , , ,"6537","8234"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(05100)","926","530","82","216", , ,"6757","8511"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(05200)","8469", , , , , ,"32625","41094"
"HOSPC","hospc_2013_DATA",33972,"B000000","Line(05300)","3004", , , , , ,"11572","14576"
"Entity[33972] Report(B10000*)", , , , , ,"Entity[33972] Report(B10000*[0100])","Entity[33972] Report(B10000*[0200])","Entity[33972] Report(B10000*[0300])","Entity[33972] Report(B10000*[0400])","Entity[33972] Report(B10000*[0500])","Entity[33972] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33972,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33972,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33972,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33972,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33972,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[33972] Report(B100000)", , , , , ,"Entity[33972] Report(B100000[0100])","Entity[33972] Report(B100000[0200])","Entity[33972] Report(B100000[0300])","Entity[33972] Report(B100000[0400])","Entity[33972] Report(B100000[0500])","Entity[33972] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00100)", ,"7476"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00200)", , ,"7476"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00300)", ,"290","290","7186"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00400)", , , , ,"7500"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00500)", ,"100","100","100","2000","2080"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(00600)", ,"4606","4606","4606","500","2080","375528"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(01000)", , , , , , ,"61291"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(01500)", , , , , , ,"6963"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(01600)", ,"1252","1252","1252","4500", ,"14931"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(02100)", ,"244","244","244", , ,"2404"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(02300)", ,"340","340","340", , ,"3350"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(02400)", ,"80","80","80","500", ,"1076"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03000)", , , , , , ,"120499"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03100)", ,"480","480","480", , ,"73257"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03200)", , , , , , ,"23343"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03500)", , , , , , ,"36333"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03600)", , , , , , ,"8236"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(03900)", , , , , , ,"8921"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(05000)", , , , , , ,"1697"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(05100)", ,"84","84","84", , ,"1754"
"HOSPC","hospc_2013_DATA",33972,"B100000","Line(05200)", , , , , , ,"8469"
