"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33959","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33959] Report(D000000[0100])","Entity[33959] Report(D000000[0200])","Entity[33959] Report(D000000[0300])","Entity[33959] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00100)", , , , ,"187508", , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00200)", , , , ,"4674", , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00300)", , , , ,"40", , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00400)", ,"4292", , , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00500)", ,"172195", , , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00600)", , ,"62", , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00700)", , ,"2487", , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00800)", ,"217", , , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(00900)", ,"8706", , , , , , , , , , , , , , 
"hospc_2013_DATA",33959,"D000000","Line(01200)", , , ,"320", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
