"Entity[34085] Report(G000000)", , , , , ,"Entity[34085] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(00100)", ,"150759"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(01100)", ,"150759"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(03300)", ,"150759"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(03700)", ,"13394"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(04200)", ,"13394"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(05000)", ,"13394"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(05100)", ,"137365"
"HOSPC","hospc_2013_DATA",34085,"G000000","Line(05800)", ,"137365"
"Entity[34085] Report(G100000)", , , , , ,"Entity[34085] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34085,"G100000","Line(00100)", ,"64381"
"HOSPC","hospc_2013_DATA",34085,"G100000","Line(00200)", ,"72984"
"HOSPC","hospc_2013_DATA",34085,"G100000","Line(00300)", ,"137365"
"HOSPC","hospc_2013_DATA",34085,"G100000","Line(01100)", ,"137365"
"Entity[34085] Report(G200001)", , , , , ,"Entity[34085] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34085,"G200001","Line(00300)", ,"1670519"
"Entity[34085] Report(G200002)", , , , , , ,"Entity[34085] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34085,"G200002","Line(00100)", , ,"1597535"
"HOSPC","hospc_2013_DATA",34085,"G200002","Line(01500)", , ,"1597535"
