"Entity[33850] Report(G000000)", , , , , ,"Entity[33850] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00100)", ,"5860302"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00400)", ,"5092010"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00500)", ,"1906889"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00600)", ,"1285552"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00800)", ,"189287"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(00900)", ,"2524434"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01100)", ,"14287370"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01200)", ,"872300"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01300)", ,"55687"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01400)", ,"20652"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01500)", ,"14011770"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01600)", ,"2068775"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(01900)", ,"2062400"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(02000)", ,"1473640"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(02600)", ,"1127140"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(02700)", ,"14566230"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(02800)", ,"100044"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(03200)", ,"100044"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(03300)", ,"28953644"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(03400)", ,"1318326"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(03500)", ,"1679664"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(03600)", ,"100056"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(04100)", ,"442277"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(04200)", ,"3540323"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(04700)", ,"10671180"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(04900)", ,"10671180"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(05000)", ,"14211503"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(05100)", ,"14742141"
"HOSPC","hospc_2013_DATA",33850,"G000000","Line(05800)", ,"14742141"
"Entity[33850] Report(G100000)", , , , ,"Entity[33850] Report(G100000[0000])","Entity[33850] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(00100)", ,"13767998"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(00200)", ,"1274082"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(00300)", ,"15042080"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(00400)","PRIOR YEAR ADJUSTMENT","-299939"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(01000)", ,"-299939"
"HOSPC","hospc_2013_DATA",33850,"G100000","Line(01100)", ,"14742141"
"Entity[33850] Report(G200001)", , , , , ,"Entity[33850] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33850,"G200001","Line(00400)", ,"31951223"
"Entity[33850] Report(G200002)", , , , ,"Entity[33850] Report(G200002[0000])","Entity[33850] Report(G200002[0100])","Entity[33850] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33850,"G200002","Line(00100)", , ,"30677143"
"HOSPC","hospc_2013_DATA",33850,"G200002","Line(00900)","ROUNDING","2"
"HOSPC","hospc_2013_DATA",33850,"G200002","Line(01400)", , ,"2"
"HOSPC","hospc_2013_DATA",33850,"G200002","Line(01500)", , ,"30677141"
