"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34017","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34017] Report(S000000[0100])","Entity[34017] Report(S000000[0200])","Entity[34017] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S000000","Line(00100)", ,"1","03/27/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34017","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34017] Report(S100000[0100])","Entity[34017] Report(S100000[0200])","Entity[34017] Report(S100000[0300])","Entity[34017] Report(S100000[0400])","Entity[34017] Report(S100000[0500])","Entity[34017] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00100)", ,"HOSPICE IN HIS CARE","3233 SOUTH SHERWOOD FOREST STE 102","BATON ROUGE","LA","70816", , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00200)", ,"EAST BATON ROUGE", , , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00300)", ,"05/10/2004", , , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00400)", ,"05/10/2004","05/10/2004", , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00600)", ,"191581", , , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00700)", ,"6", , , , , , , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(00900)", ,"20886","213", ,"113","813","21912", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01000)", ,"14","5", ,"5", ,"19", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01100)", ,"9", , , , ,"9", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01200)", ,"20909","218", ,"118","813","21940", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01300)", ,"198","8","105","4","10","216", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01500)", ,"106","27", ,"30","81","102", , , , , , , , , 
"hospc_2013_DATA",34017,"S100000","Line(01600)", ,"198","6","79","3","7","211", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
