"Entity[34017] Report(D000000)", , , , , ,"Entity[34017] Report(D000000[0100])","Entity[34017] Report(D000000[0200])","Entity[34017] Report(D000000[0300])","Entity[34017] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00100)", , , , ,"2477103"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00200)", , , , ,"21940"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00300)", , , , ,"113"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00400)", ,"20909"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00500)", ,"2360626"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00600)", , ,"218"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(00700)", , ,"24612"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(01000)", , ,"118"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(01100)", , ,"13322"
"HOSPC","hospc_2013_DATA",34017,"D000000","Line(01200)", , , ,"813"
