"Entity[33865] Report(B000000)", , , , ,"Entity[33865] Report(B000000[0000])","Entity[33865] Report(B000000[0100])","Entity[33865] Report(B000000[0200])","Entity[33865] Report(B000000[0300])", , ,"Entity[33865] Report(B000000[0600])","Entity[33865] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(00100)","22576","22576"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(00200)","7632", ,"7632"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(00300)","42456", , ,"42456"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(00600)","262236","10411","3520","19580", , ,"295747"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(01000)","224525", , , , , ,"84547","309072"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(01500)","23978", , , , , ,"9029","33007"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(01600)","354046","9040","3056","17000", , ,"144274","527416"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(02000)","18790","1315","444","2472", , ,"8669","31690"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(02400)","28988","1810","612","3404", , ,"13110","47924"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(03000)","50634", , , , , ,"19067","69701"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(03100)","33187", , , , , ,"12497","45684"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(03400)","911", , , , , ,"343","1254"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(03500)","1846", , , , , ,"695","2541"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(05000)","9255", , , , , ,"3485","12740"
"HOSPC","hospc_2013_DATA",33865,"B000000","Line(05300)","81", , , , , ,"31","112"
"Entity[33865] Report(B10000*)", , , , , ,"Entity[33865] Report(B10000*[0100])","Entity[33865] Report(B10000*[0200])","Entity[33865] Report(B10000*[0300])", , ,"Entity[33865] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33865,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT", , ,"ADMINIS-"
"HOSPC","hospc_2013_DATA",33865,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &", , ,"TRATIVE &"
"HOSPC","hospc_2013_DATA",33865,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.", , ,"GENERAL"
"HOSPC","hospc_2013_DATA",33865,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE", , ,"ACCUM."
"HOSPC","hospc_2013_DATA",33865,"B10000*","Line(00500)", ,"FEET","FEET","FEET", , ,"COSTS"
"Entity[33865] Report(B100000)", , , , , ,"Entity[33865] Report(B100000[0100])","Entity[33865] Report(B100000[0200])","Entity[33865] Report(B100000[0300])", , ,"Entity[33865] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(00100)", ,"2370"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(00200)", , ,"2370"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(00300)", , , ,"2370"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(00600)", ,"1093","1093","1093", , ,"785394"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(01000)", , , , , , ,"224525"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(01500)", , , , , , ,"23978"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(01600)", ,"949","949","949", , ,"383142"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(02000)", ,"138","138","138", , ,"23021"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(02400)", ,"190","190","190", , ,"34814"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(03000)", , , , , , ,"50634"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(03100)", , , , , , ,"33187"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(03400)", , , , , , ,"911"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(03500)", , , , , , ,"1846"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(05000)", , , , , , ,"9255"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(05300)", , , , , , ,"81"
"HOSPC","hospc_2013_DATA",33865,"B100000","Line(10000)", ,"22576","7632","42456", , ,"295747"
