"Entity[33885] Report(B000000)", , , , ,"Entity[33885] Report(B000000[0000])", , , , ,"Entity[33885] Report(B000000[0500])","Entity[33885] Report(B000000[0600])","Entity[33885] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(00500)","95211", , , , ,"95211"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(00600)","1591447", , , , ,"44341","1635788"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(01600)","638073", , , , ,"17779","571693","1227545"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(01800)","119", , , , ,"3","106","228"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(02000)","116110", , , , ,"3235","104031","223376"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(02100)","107142", , , , ,"2985","95996","206123"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(02400)","372681", , , , ,"10384","333911","716976"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(02500)","77022", , , , ,"2146","69009","148177"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(03000)","217822", , , , ,"6069","195162","419053"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(03100)","183674", , , , ,"5118","164567","353359"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(03200)","6004", , , , ,"167","5379","11550"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(03500)","40797", , , , ,"1137","36553","78487"
"HOSPC","hospc_2013_DATA",33885,"B000000","Line(05000)","66275", , , , ,"1847","59381","127503"
"Entity[33885] Report(B10000*)", , , , , , ,"Entity[33885] Report(B10000*[0200])", , ,"Entity[33885] Report(B10000*[0500])","Entity[33885] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33885,"B10000*","Line(00100)", , ,"CAPITAL", , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33885,"B10000*","Line(00200)", , ,"MOVABLE", , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33885,"B10000*","Line(00300)", , ,"EQUIPMENT", , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33885,"B10000*","Line(00400)", , ,"SQUARE", , ,"ACCUM.","ACCUM."
"HOSPC","hospc_2013_DATA",33885,"B10000*","Line(00500)", , ,"FEET", , ,"COSTS","COSTS"
"Entity[33885] Report(B100000)", , , , , , ,"Entity[33885] Report(B100000[0200])", , ,"Entity[33885] Report(B100000[0500])","Entity[33885] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(00000)", , , , , ,"X","X"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(00200)", , ,"1717"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(00500)", , , , , ,"3417166"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(00600)", , ,"1717", , ,"1591447","1876589"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(01600)", , , , , ,"638073","655852"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(01800)", , , , , ,"119","122"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(02000)", , , , , ,"116110","119345"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(02100)", , , , , ,"107142","110127"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(02400)", , , , , ,"372681","383065"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(02500)", , , , , ,"77022","79168"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(03000)", , , , , ,"217822","223891"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(03100)", , , , , ,"183674","188792"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(03200)", , , , , ,"6004","6171"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(03500)", , , , , ,"40797","41934"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(05000)", , , , , ,"66275","68122"
"HOSPC","hospc_2013_DATA",33885,"B100000","Line(10000)", , , , , ,"95211","1635788"
