"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36071","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36071] Report(S000000[0100])","Entity[36071] Report(S000000[0200])","Entity[36071] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S000000","Line(00100)", ,"1","06/02/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36071","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36071] Report(S100000[0100])","Entity[36071] Report(S100000[0200])","Entity[36071] Report(S100000[0300])","Entity[36071] Report(S100000[0400])","Entity[36071] Report(S100000[0500])","Entity[36071] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00100)", ,"HOSPICE OF THE GUNNISON VALLEY","1500 WEST TOMICHI AVENUE","GUNNISON","CO","81230", , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00200)", ,"GUNNISON", , , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00300)", ,"01/01/2012", , , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00400)", ,"05/17/1996","07/23/1996", , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00600)", ,"061537", , , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00700)", ,"9", , , , , , , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(00900)", ,"522","8","105", ,"8","538", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(01000)", ,"3", , , , ,"3", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(01200)", ,"525","8","105", ,"8","541", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(01300)", ,"17","1","9", ,"2","20", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(01500)", ,"31","8","12", ,"4","27", , , , , , , , , 
"hospc_2013_DATA",36071,"S100000","Line(01600)", ,"17","1","9", ,"2","20", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
