"Entity[33864] Report(D000000)", , , , , ,"Entity[33864] Report(D000000[0100])","Entity[33864] Report(D000000[0200])","Entity[33864] Report(D000000[0300])","Entity[33864] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00100)", , , , ,"758883"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00200)", , , , ,"2113"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00300)", , , , ,"359"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00400)", ,"1778"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00500)", ,"638569"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00600)", , ,"1"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(00700)", , ,"359"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(01000)", , ,"230"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(01100)", , ,"82605"
"HOSPC","hospc_2013_DATA",33864,"D000000","Line(01200)", , , ,"334"
