"Entity[34092] Report(G000000)", , , , , ,"Entity[34092] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00100)", ,"1851065"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00400)", ,"1812500"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00500)", ,"-761"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00600)", ,"246645"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00800)", ,"68721"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(00900)", ,"297028"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01000)", ,"195575"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01100)", ,"3977483"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01200)", ,"575000"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01500)", ,"7905331"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01600)", ,"4900108"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(01700)", ,"355974"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(02100)", ,"15012"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(02300)", ,"1937113"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(02600)", ,"159113"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(02700)", ,"6047435"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(02800)", ,"500"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(03200)", ,"500"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(03300)", ,"10025418"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(03400)", ,"548423"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(03500)", ,"760684"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(03600)", ,"27020"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(04200)", ,"1336127"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(05000)", ,"1336127"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(05100)", ,"8689291"
"HOSPC","hospc_2013_DATA",34092,"G000000","Line(05800)", ,"8689291"
"Entity[34092] Report(G100000)", , , , , ,"Entity[34092] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34092,"G100000","Line(00100)", ,"8572962"
"HOSPC","hospc_2013_DATA",34092,"G100000","Line(00200)", ,"116329"
"HOSPC","hospc_2013_DATA",34092,"G100000","Line(00300)", ,"8689291"
"HOSPC","hospc_2013_DATA",34092,"G100000","Line(01100)", ,"8689291"
"Entity[34092] Report(G200001)", , , , , ,"Entity[34092] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34092,"G200001","Line(00100)", ,"2054110"
"HOSPC","hospc_2013_DATA",34092,"G200001","Line(00200)", ,"255928"
"HOSPC","hospc_2013_DATA",34092,"G200001","Line(00300)", ,"7391077"
"HOSPC","hospc_2013_DATA",34092,"G200001","Line(00400)", ,"3869284"
"HOSPC","hospc_2013_DATA",34092,"G200001","Line(00500)", ,"918704"
"Entity[34092] Report(G200002)", , , , ,"Entity[34092] Report(G200002[0000])","Entity[34092] Report(G200002[0100])","Entity[34092] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(00100)", , ,"14991525"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","2"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(00800)", , ,"2"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01000)","COMMUNITY SUPPORT","547550"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01100)","INTEREST AND INVESTMENT INCOME","6396"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01200)","OTHER PROGRAM INCOME","64293"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01300)","MISCELLANEOUS INCOME","514"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01301)","STATE MEDICAID ROOM & BOARD","918704"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01400)", , ,"1537457"
"HOSPC","hospc_2013_DATA",34092,"G200002","Line(01500)", , ,"13454070"
