"Entity[33870] Report(G000000)", , , , , ,"Entity[33870] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(00400)", ,"504021"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(00600)", ,"14328"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(01100)", ,"489693"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(01900)", ,"87642"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(02000)", ,"39359"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(02700)", ,"48283"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03100)", ,"3100"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03200)", ,"3100"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03300)", ,"541076"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03400)", ,"24533"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03500)", ,"188984"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(03600)", ,"3652"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(04000)", ,"156654"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(04100)", ,"1546"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(04200)", ,"375369"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(05000)", ,"375369"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(05100)", ,"165707"
"HOSPC","hospc_2013_DATA",33870,"G000000","Line(05800)", ,"165707"
"Entity[33870] Report(G100000)", , , , , ,"Entity[33870] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(00100)", ,"-55868"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(00200)", ,"484489"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(00300)", ,"428621"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(01100)", ,"428621"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(01200)", ,"262914"
"HOSPC","hospc_2013_DATA",33870,"G100000","Line(01800)", ,"262914"
"Entity[33870] Report(G200001)", , , , , ,"Entity[33870] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33870,"G200001","Line(00100)", ,"5361403"
"Entity[33870] Report(G200002)", , , , , , ,"Entity[33870] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33870,"G200002","Line(00100)", , ,"4876914"
"HOSPC","hospc_2013_DATA",33870,"G200002","Line(01500)", , ,"4876914"
