"Entity[33942] Report(D000000)", , , , , ,"Entity[33942] Report(D000000[0100])", ,"Entity[33942] Report(D000000[0300])","Entity[33942] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(00100)", , , , ,"1816128"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(00200)", , , , ,"14560"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(00300)", , , , ,"125"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(00400)", ,"14547"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(00500)", ,"1814447"
"HOSPC","hospc_2013_DATA",33942,"D000000","Line(01200)", , , ,"13"
