"Entity[32672] Report(G200001)", , , , , ,"Entity[32672] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",32672,"G200001","Line(00300)", ,"96015"
"Entity[32672] Report(G200002)", , , , , , ,"Entity[32672] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",32672,"G200002","Line(00100)", , ,"656396"
"HOSPC","hospc_2013_DATA",32672,"G200002","Line(01500)", , ,"656396"
