"Entity[33843] Report(D000000)", , , , , ,"Entity[33843] Report(D000000[0100])", ,"Entity[33843] Report(D000000[0300])","Entity[33843] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(00100)", , , , ,"1392848"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(00200)", , , , ,"14290"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(00300)", , , , ,"97"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(00400)", ,"14250"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(00500)", ,"1388948"
"HOSPC","hospc_2013_DATA",33843,"D000000","Line(01200)", , , ,"40"
