"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33943","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33943] Report(S000000[0100])","Entity[33943] Report(S000000[0200])","Entity[33943] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S000000","Line(00100)", ,"1","02/28/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33943","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33943] Report(S100000[0100])","Entity[33943] Report(S100000[0200])","Entity[33943] Report(S100000[0300])","Entity[33943] Report(S100000[0400])","Entity[33943] Report(S100000[0500])","Entity[33943] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00100)", ,"HOSPICE OF THE TREASURE COAST  INC.","805 VIRGINIA AVENUE SUITE 1","FORT PIERCE","FL","34982", , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00200)", ,"ST. LUCIE", , , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00300)", ,"09/02/1981", , , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00400)", ,"12/10/1984","05/09/1984", , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00500)", ,"10/01/2012","09/30/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00600)", ,"101517", , , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00700)", ,"2", , , , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00800)", ,"1455","85","203","22","156","1696", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(00900)", ,"93559","2485","18312","323","5606","101650", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01000)", ,"475","14","87", ,"5","494", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01100)", ,"2786","258","25", ,"332","3376", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01200)", ,"98275","2842","18627","345","6099","107216", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01300)", ,"1697","84","268","9","168","1949", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01400)", ,"27876", ,"3693", , , , , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01500)", ,"58","34","70","38","36","55", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01600)", ,"1292","66","180","8","151","1509", , , , , , , , , 
"hospc_2013_DATA",33943,"S100000","Line(01800)", ,"Y","10H072", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
