"Entity[33862] Report(B000000)", , , , ,"Entity[33862] Report(B000000[0000])","Entity[33862] Report(B000000[0100])", ,"Entity[33862] Report(B000000[0300])", ,"Entity[33862] Report(B000000[0500])","Entity[33862] Report(B000000[0600])","Entity[33862] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(00100)","83475","83475"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(00300)","6413", , ,"6413"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(00500)", ,"122", ,"9", ,"131"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(00600)","1971632","2736", ,"210", , ,"1974578"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(01000)","1320746","69829", ,"5365", ,"65","402398","1798403"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(01100)","145417", , , , ,"66","41935","187418"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(01500)","52142", , , , , ,"15030","67172"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(01600)","2441367","244", ,"19", , ,"703804","3145434"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(01700)","930", , , , , ,"268","1198"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(02000)","160626","244", ,"19", , ,"46376","207265"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(02100)","41065","81", ,"6", , ,"11862","53014"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(02400)","225060","244", ,"19", , ,"64949","290272"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(03000)","319375", , , , , ,"92060","411435"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(03100)","131977", , , , , ,"38042","170019"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(03200)","20791", , , , , ,"5993","26784"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(03300)","465", , , , , ,"134","599"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(03400)","410", , , , , ,"118","528"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(05000)","391900","9975", ,"766", , ,"116061","518702"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(05100)","75182", , , , , ,"21671","96853"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(05300)","218071", , , , , ,"62859","280930"
"HOSPC","hospc_2013_DATA",33862,"B000000","Line(05301)","1217755", , , , , ,"351018","1568773"
"Entity[33862] Report(B10000*)", , , , , ,"Entity[33862] Report(B10000*[0100])", ,"Entity[33862] Report(B10000*[0300])", ,"Entity[33862] Report(B10000*[0500])","Entity[33862] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33862,"B10000*","Line(00100)", ,"CAPITAL", ,"PLANT", ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33862,"B10000*","Line(00200)", ,"BLDGS &", ,"OPER. &", ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33862,"B10000*","Line(00300)", ,"FIXTURES", ,"MAINT.", ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33862,"B10000*","Line(00400)", ,"SQUARE", ,"SQUARE", ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33862,"B10000*","Line(00500)", ,"FEET", ,"FEET", ,"SERVICE","COSTS"
"Entity[33862] Report(B100000)", , , , , ,"Entity[33862] Report(B100000[0100])", ,"Entity[33862] Report(B100000[0300])", ,"Entity[33862] Report(B100000[0500])","Entity[33862] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(00100)", ,"34144"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(00300)", , , ,"34144"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(00500)", ,"50", ,"50", ,"2"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(00600)", ,"1119", ,"1119", , ,"6850221"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(01000)", ,"28562", ,"28562", ,"1","1396005"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(01100)", , , , , ,"1","145483"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(01500)", , , , , , ,"52142"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(01600)", ,"100", ,"100", , ,"2441630"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(01700)", , , , , , ,"930"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(02000)", ,"100", ,"100", , ,"160889"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(02100)", ,"33", ,"33", , ,"41152"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(02400)", ,"100", ,"100", , ,"225323"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(03000)", , , , , , ,"319375"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(03100)", , , , , , ,"131977"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(03200)", , , , , , ,"20791"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(03300)", , , , , , ,"465"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(03400)", , , , , , ,"410"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(05000)", ,"4080", ,"4080", , ,"402641"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(05100)", , , , , , ,"75182"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(05300)", , , , , , ,"218071"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(05301)", , , , , , ,"1217755"
"HOSPC","hospc_2013_DATA",33862,"B100000","Line(10000)", ,"83475", ,"6413", ,"131","1974578"
