"Entity[33899] Report(D000000)", , , , , ,"Entity[33899] Report(D000000[0100])", ,"Entity[33899] Report(D000000[0300])","Entity[33899] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(00100)", , , , ,"324844"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(00200)", , , , ,"1286"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(00300)", , , , ,"253"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(00400)", ,"1283"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(00500)", ,"324086"
"HOSPC","hospc_2013_DATA",33899,"D000000","Line(01200)", , , ,"3"
