"Entity[34052] Report(D000000)", , , , , ,"Entity[34052] Report(D000000[0100])","Entity[34052] Report(D000000[0200])","Entity[34052] Report(D000000[0300])","Entity[34052] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00100)", , , , ,"3212447"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00200)", , , , ,"14296"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00300)", , , , ,"225"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00400)", ,"13969"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00500)", ,"3138974"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00600)", , ,"288"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(00700)", , ,"64716"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(01000)", , ,"5603"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(01100)", , ,"1259050"
"HOSPC","hospc_2013_DATA",34052,"D000000","Line(01200)", , , ,"39"
