"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34472","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34472] Report(S000000[0100])","Entity[34472] Report(S000000[0200])","Entity[34472] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S000000","Line(00100)", ,"1","05/23/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34472","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34472] Report(S100000[0100])","Entity[34472] Report(S100000[0200])","Entity[34472] Report(S100000[0300])","Entity[34472] Report(S100000[0400])","Entity[34472] Report(S100000[0500])","Entity[34472] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00100)", ,"CCH OF THE DELMAR PENINSULA  LLC","28467 DUPONT BOULEVARD","MILLSBORO","DE","19966", , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00200)", ,"SUSSEX", , , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00300)", ,"12/19/2005", , , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00400)", ,"08/20/2008","09/01/2008", , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00600)", ,"081509", , , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00700)", ,"4", , , , , , , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00800)", ,"1", , , , ,"1", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(00900)", ,"17499","103","3518", ,"6051","23653", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01000)", ,"61", ,"6", , ,"61", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01100)", ,"65", , , ,"30","95", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01200)", ,"17626","103","3524", ,"6081","23810", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01300)", ,"282","4","24", ,"60","346", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01400)", ,"12", , , , ,"12", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01500)", ,"63","26","147", ,"101","69", , , , , , , , , 
"hospc_2013_DATA",34472,"S100000","Line(01600)", ,"213","4","7", ,"40","257", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
