"Entity[33886] Report(S000000)", , , , , ,"Entity[33886] Report(S000000[0100])","Entity[33886] Report(S000000[0200])","Entity[33886] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",33886,"S000000","Line(00100)", ,"1","02/28/2014","N"
"Entity[33886] Report(S100000)", , , , , ,"Entity[33886] Report(S100000[0100])","Entity[33886] Report(S100000[0200])","Entity[33886] Report(S100000[0300])","Entity[33886] Report(S100000[0400])","Entity[33886] Report(S100000[0500])","Entity[33886] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00100)", ,"OSF HOSPICE - ROCKFORD","9951 ROCK CUT CROSSING","LOVES PARK","IL","61111"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00200)", ,"WINNEBAGO"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00300)", ,"09/04/2002"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00400)", ,"09/04/2002","09/04/2002"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00500)", ,"10/01/2012","09/30/2013"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00600)", ,"141605"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00700)", ,"1"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(00900)", ,"10985","295","432", ,"853","12133"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01000)", ,"5", , , , ,"5"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01100)", ,"43","4", , , ,"47"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01200)", ,"11033","299","432", ,"853","12185"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01300)", ,"318","9","32", ,"248","575"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01500)", ,"35","33","14", ,"3","21"
"HOSPC","hospc_2013_DATA",33886,"S100000","Line(01600)", ,"318","9","32", ,"248","575"
