"Entity[33879] Report(D000000)", , , , , ,"Entity[33879] Report(D000000[0100])","Entity[33879] Report(D000000[0200])","Entity[33879] Report(D000000[0300])","Entity[33879] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00100)", , , , ,"545598"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00200)", , , , ,"3418"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00300)", , , , ,"160"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00400)", ,"2785"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00500)", ,"444542"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00600)", , ,"163"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00700)", , ,"26018"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00800)", ,"607"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(00900)", ,"96889"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(01000)", , ,"31"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(01100)", , ,"4948"
"HOSPC","hospc_2013_DATA",33879,"D000000","Line(01200)", , , ,"470"
