"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34480","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34480] Report(S000000[0100])","Entity[34480] Report(S000000[0200])","Entity[34480] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S000000","Line(00100)", ,"1","05/23/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34480","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34480] Report(S100000[0100])","Entity[34480] Report(S100000[0200])","Entity[34480] Report(S100000[0300])","Entity[34480] Report(S100000[0400])","Entity[34480] Report(S100000[0500])","Entity[34480] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00100)", ,"CCH  INC.","1513 CEDAR CLIFF DRIVE  SUITE 100","CAMP HILL","PA","17011", , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00200)", ,"CUMBERLAND", , , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00300)", ,"06/01/1994", , , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00400)", ,"09/04/1994","09/04/1994", , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00600)", ,"391589", , , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00700)", ,"4", , , , , , , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00800)", ,"183", , , ,"49","232", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(00900)", ,"49593","460","18986","446","3809","53862", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01000)", ,"61", ,"5", ,"10","71", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01100)", ,"356","9","32","4","47","412", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01200)", ,"50193","469","19023","450","3915","54577", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01300)", ,"936","8","342","6","111","1055", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01400)", ,"2838", , , , ,"2838", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01500)", ,"54","59","56","75","35","52", , , , , , , , , 
"hospc_2013_DATA",34480,"S100000","Line(01600)", ,"802","6","284","4","101","909", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
