"Entity[34014] Report(D000000)", , , , , ,"Entity[34014] Report(D000000[0100])", ,"Entity[34014] Report(D000000[0300])","Entity[34014] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(00100)", , , , ,"3287282"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(00200)", , , , ,"31318"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(00300)", , , , ,"105"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(00400)", ,"27188"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(00500)", ,"2853652"
"HOSPC","hospc_2013_DATA",34014,"D000000","Line(01200)", , , ,"4130"
