"Entity[33941] Report(B000000)", , , , ,"Entity[33941] Report(B000000[0000])", ,"Entity[33941] Report(B000000[0200])","Entity[33941] Report(B000000[0300])", ,"Entity[33941] Report(B000000[0500])","Entity[33941] Report(B000000[0600])","Entity[33941] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(00200)","7418", ,"7418"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(00300)","19345", ,"3708","23053"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(00500)","13062", ,"147","912", ,"14121"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(00600)","515225", ,"2472","15363", ,"9797","542857"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(01000)","72844", , , , , ,"33104","105948"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(01500)","46852", , , , , ,"21292","68144"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(01600)","460451", ,"466","2894", ,"1846","211616","677273"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(01700)","2159", , , , , ,"981","3140"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(01800)","673", , , , , ,"306","979"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(02000)","86327", ,"103","642", ,"409","39756","127237"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(02100)","51325", ,"53","329", ,"210","23594","75511"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(02400)","185322", ,"129","802", ,"512","84875","271640"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(02500)","836", , , , , ,"380","1216"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(03000)","94396", , , , , ,"42898","137294"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(03100)","49894", , , , , ,"22674","72568"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(03200)","1028", , , , , ,"467","1495"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(03400)","798", , , , , ,"363","1161"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(03900)","81587", ,"257","1596", ,"1018","38382","122840"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(05000)","13524", ,"83","515", ,"329","6567","21018"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(05100)","1929", , , , , ,"877","2806"
"HOSPC","hospc_2013_DATA",33941,"B000000","Line(05300)","32403", , , , , ,"14725","47128"
"Entity[33941] Report(B10000*)", , , , , , ,"Entity[33941] Report(B10000*[0200])","Entity[33941] Report(B10000*[0300])","Entity[33941] Report(B10000*[0400])","Entity[33941] Report(B10000*[0500])","Entity[33941] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33941,"B10000*","Line(00100)", , ,"CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33941,"B10000*","Line(00200)", , ,"MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33941,"B10000*","Line(00300)", , ,"EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33941,"B10000*","Line(00400)", , ,"DOLLAR","SQUARE","MILEAGE","HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",33941,"B10000*","Line(00500)", , ,"VALUE","FEET", , ,"COSTS"
"Entity[33941] Report(B100000)", , , , , , ,"Entity[33941] Report(B100000[0200])","Entity[33941] Report(B100000[0300])","Entity[33941] Report(B100000[0400])","Entity[33941] Report(B100000[0500])","Entity[33941] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00200)", , ,"16378"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00300)", , ,"8189","8189"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00301)"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00400)", , , , ,"8189"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00500)", , ,"324","324","324","7865"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00501)"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(00600)", , ,"5457","5457","5457","5457","1194541"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(01000)", , , , , , ,"72844"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(01500)", , , , , , ,"46852"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(01600)", , ,"1028","1028","1028","1028","465657"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(01700)", , , , , , ,"2159"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(01800)", , , , , , ,"673"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(02000)", , ,"228","228","228","228","87481"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(02100)", , ,"117","117","117","117","51917"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(02400)", , ,"285","285","285","285","186765"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(02500)", , , , , , ,"836"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(03000)", , , , , , ,"94396"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(03100)", , , , , , ,"49894"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(03200)", , , , , , ,"1028"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(03400)", , , , , , ,"798"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(03900)", , ,"567","567","567","567","84458"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(05000)", , ,"183","183","183","183","14451"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(05100)", , , , , , ,"1929"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(05300)", , , , , , ,"32403"
"HOSPC","hospc_2013_DATA",33941,"B100000","Line(10000)", , ,"7418","23053", ,"14121","542857"
