"Entity[34019] Report(G000000)", , , , , ,"Entity[34019] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(00100)", ,"91693"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(00200)", ,"15234"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(00400)", ,"172353"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(00500)", ,"-95"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(00600)", ,"20908"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(01100)", ,"258277"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(01300)", ,"5677"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(01500)", ,"352547"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(01600)", ,"36307"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(01900)", ,"36698"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02000)", ,"15188"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02100)", ,"21014"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02300)", ,"29491"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02400)", ,"57193"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02600)", ,"566"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(02700)", ,"337305"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(03300)", ,"595582"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(03400)", ,"80678"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(03500)", ,"137969"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(03600)", ,"11218"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(04200)", ,"229865"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(04400)", ,"35000"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(04900)", ,"35000"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(05000)", ,"264865"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(05100)", ,"330717"
"HOSPC","hospc_2013_DATA",34019,"G000000","Line(05800)", ,"330717"
"Entity[34019] Report(G100000)", , , , ,"Entity[34019] Report(G100000[0000])","Entity[34019] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(00100)", ,"386725"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(00200)", ,"-79644"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(00300)", ,"307081"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(00500)","PRIOR-YEAR ADJUSTMENT","23636"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(01000)", ,"23636"
"HOSPC","hospc_2013_DATA",34019,"G100000","Line(01100)", ,"330717"
"Entity[34019] Report(G200001)", , , , , ,"Entity[34019] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34019,"G200001","Line(00100)", ,"10890"
"HOSPC","hospc_2013_DATA",34019,"G200001","Line(00200)", ,"80372"
"HOSPC","hospc_2013_DATA",34019,"G200001","Line(00300)", ,"1807505"
"HOSPC","hospc_2013_DATA",34019,"G200001","Line(00500)", ,"319649"
"Entity[34019] Report(G200002)", , , , ,"Entity[34019] Report(G200002[0000])","Entity[34019] Report(G200002[0100])","Entity[34019] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(00100)", , ,"2574399"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","-1"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(00800)", , ,"-1"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(01000)","COMMUNITY SUPPORT","276314"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(01100)","INTEREST AND INVESTMENT INCOME","24"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(01301)","MEDICAID ROOM AND BOARD","319649"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(01400)", , ,"595987"
"HOSPC","hospc_2013_DATA",34019,"G200002","Line(01500)", , ,"1978411"
