"Entity[33936] Report(D000000)", , , , , ,"Entity[33936] Report(D000000[0100])","Entity[33936] Report(D000000[0200])", ,"Entity[33936] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00100)", , , , ,"1776155"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00200)", , , , ,"17052"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00300)", , , , ,"104"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00400)", ,"17021"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00500)", ,"1772907"
"HOSPC","hospc_2013_DATA",33936,"D000000","Line(00600)", , ,"31"
