"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33849","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33849] Report(S000000[0100])","Entity[33849] Report(S000000[0200])","Entity[33849] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S000000","Line(00100)", ,"1","02/20/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33849","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33849] Report(S100000[0100])","Entity[33849] Report(S100000[0200])","Entity[33849] Report(S100000[0300])","Entity[33849] Report(S100000[0400])","Entity[33849] Report(S100000[0500])","Entity[33849] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00100)", ,"OLD COLONY HOSPICE  INC.","ONE CREDIT UNION WAY","RANDOLPH","MA","02368", , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00200)", ,"NORFOLK", , , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00300)", ,"07/23/1979", , , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00400)", ,"08/27/1986","10/10/1991", , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00500)", ,"10/01/2012","09/30/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00600)", ,"221514", , , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00700)", ,"2", , , , , , , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00800)", ,"4", , , ,"1","5", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(00900)", ,"33801", ,"12853", ,"2982","36783", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01000)", ,"34", ,"34", , ,"34", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01100)", ,"777", ,"733", ,"83","860", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01200)", ,"34616", ,"13620", ,"3066","37682", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01300)", ,"684", ,"385", ,"94","778", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01500)", ,"51", ,"35", ,"33","48", , , , , , , , , 
"hospc_2013_DATA",33849,"S100000","Line(01600)", ,"619", ,"338", ,"76","695", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
