"Entity[33968] Report(S000000)", , , , , ,"Entity[33968] Report(S000000[0100])","Entity[33968] Report(S000000[0200])","Entity[33968] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",33968,"S000000","Line(00100)", ,"1","03/14/2014","N"
"Entity[33968] Report(S100000)", , , , , ,"Entity[33968] Report(S100000[0100])","Entity[33968] Report(S100000[0200])","Entity[33968] Report(S100000[0300])","Entity[33968] Report(S100000[0400])","Entity[33968] Report(S100000[0500])","Entity[33968] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00100)", ,"HOSPICE OF GUERNSEY","P.O. BOX 1165","CAMBRIDGE","OH","43725"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00200)", ,"GUERNSEY"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00300)", ,"11/01/1985"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00400)", ,"02/20/1986","06/27/1990"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00500)", ,"01/01/2013","12/31/2013"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00600)", ,"361511"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00700)", ,"2"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(00900)", ,"16370","698","5577","294","1078","18146"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01000)", ,"51","4","10", ,"13","68"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01100)", ,"4", , , ,"8","12"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01200)", ,"16425","702","5587","294","1099","18226"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01300)", ,"256","14","90","9","1","271"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01500)", ,"64","50","62","33","1099","67"
"HOSPC","hospc_2013_DATA",33968,"S100000","Line(01600)", ,"256","14","90","9","1","271"
