"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36392","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36392] Report(S000000[0100])","Entity[36392] Report(S000000[0200])","Entity[36392] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S000000","Line(00100)", ,"1","06/09/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36392","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[36392] Report(S100000[0100])","Entity[36392] Report(S100000[0200])","Entity[36392] Report(S100000[0300])","Entity[36392] Report(S100000[0400])","Entity[36392] Report(S100000[0500])","Entity[36392] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00100)", ,"SOUTHERNCARE NEW CASTLE","26 NESBITT RD.  SUITE 1","NEW CASTLE","PA","16105", , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00200)", ,"LAWRENCE", , , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00300)", ,"01/08/2004", , , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00400)", ,"01/08/2004","10/01/2009", , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00600)", ,"391648", , , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00700)", ,"4", , , , , , , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00800)", ,"6", ,"1", , ,"6", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(00900)", ,"12122","61","3106","61","513","12696", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01000)", ,"14", , , ,"9","23", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01100)", ,"68", ,"2", , ,"68", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01200)", ,"12210","61","3109","61","522","12793", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01300)", ,"199","2","65","2","12","213", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01400)", ,"78", ,"11", , ,"78", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01500)", ,"61","31","48","31","44","60", , , , , , , , , 
"hospc_2013_DATA",36392,"S100000","Line(01600)", ,"153","2","50","2","8","163", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
