"Entity[34015] Report(D000000)", , , , , ,"Entity[34015] Report(D000000[0100])", , ,"Entity[34015] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34015,"D000000","Line(00100)", , , , ,"333349"
"HOSPC","hospc_2013_DATA",34015,"D000000","Line(00200)", , , , ,"1002"
"HOSPC","hospc_2013_DATA",34015,"D000000","Line(00300)", , , , ,"333"
"HOSPC","hospc_2013_DATA",34015,"D000000","Line(00400)", ,"1002"
