"Entity[33986] Report(G000000)", , , , , ,"Entity[33986] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00100)", ,"691836"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00400)", ,"1669836"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00500)", ,"7867"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00600)", ,"79100"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00800)", ,"100061"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(00900)", ,"8532"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(01100)", ,"2399032"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(01700)", ,"1820"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(01800)", ,"425"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(02200)", ,"57145"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(02300)", ,"173647"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(02700)", ,"117897"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(02900)", ,"58739"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(03100)", ,"445358"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(03200)", ,"504097"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(03300)", ,"3021026"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(03400)", ,"1262075"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(03500)", ,"207740"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(04100)", ,"211518"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(04200)", ,"1681333"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(04400)", ,"50000"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(04900)", ,"50000"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(05000)", ,"1731333"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(05100)", ,"1289693"
"HOSPC","hospc_2013_DATA",33986,"G000000","Line(05800)", ,"1289693"
"Entity[33986] Report(G100000)", , , , ,"Entity[33986] Report(G100000[0000])","Entity[33986] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(00100)", ,"-649353"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(00200)", ,"415520"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(00300)", ,"-233833"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(00400)","CAPITAL INVESTMENT","1809000"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(01000)", ,"1809000"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(01100)", ,"1575167"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(01200)","CAPITAL WITHDRAWALS","163774"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(01300)","PRIOR PERIOD ADJUSTMENT","121700"
"HOSPC","hospc_2013_DATA",33986,"G100000","Line(01800)", ,"285474"
"Entity[33986] Report(G200001)", , , , , ,"Entity[33986] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33986,"G200001","Line(00300)", ,"10536375"
"HOSPC","hospc_2013_DATA",33986,"G200001","Line(00400)", ,"1321"
"Entity[33986] Report(G200002)", , , , , , ,"Entity[33986] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33986,"G200002","Line(00100)", , ,"10122176"
"HOSPC","hospc_2013_DATA",33986,"G200002","Line(01500)", , ,"10122176"
