"Entity[34078] Report(D000000)", , , , , ,"Entity[34078] Report(D000000[0100])","Entity[34078] Report(D000000[0200])","Entity[34078] Report(D000000[0300])","Entity[34078] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00100)", , , , ,"5175594"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00200)", , , , ,"14650"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00300)", , , , ,"353"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00400)", ,"12756"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00500)", ,"4506440"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00600)", , ,"359"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00700)", , ,"126828"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00800)", ,"4164"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(00900)", ,"1471058"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(01000)", , ,"109"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(01100)", , ,"38508"
"HOSPC","hospc_2013_DATA",34078,"D000000","Line(01200)", , , ,"1535"
