"Entity[34078] Report(G200001)", , , , , ,"Entity[34078] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34078,"G200001","Line(00300)", ,"1808023"
"HOSPC","hospc_2013_DATA",34078,"G200001","Line(00400)", ,"944127"
"Entity[34078] Report(G200002)", , , , , , ,"Entity[34078] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34078,"G200002","Line(00100)", , ,"4559615"
"HOSPC","hospc_2013_DATA",34078,"G200002","Line(01500)", , ,"4559615"
