"Entity[33995] Report(D000000)", , , , , ,"Entity[33995] Report(D000000[0100])", , ,"Entity[33995] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33995,"D000000","Line(00100)", , , , ,"1254116"
"HOSPC","hospc_2013_DATA",33995,"D000000","Line(00200)", , , , ,"12348"
"HOSPC","hospc_2013_DATA",33995,"D000000","Line(00300)", , , , ,"102"
"HOSPC","hospc_2013_DATA",33995,"D000000","Line(00400)", ,"12348"
