"Entity[34034] Report(S000000)", , , , , ,"Entity[34034] Report(S000000[0100])","Entity[34034] Report(S000000[0200])","Entity[34034] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",34034,"S000000","Line(00100)", ,"1","04/08/2014","N"
"Entity[34034] Report(S100000)", , , , , ,"Entity[34034] Report(S100000[0100])","Entity[34034] Report(S100000[0200])","Entity[34034] Report(S100000[0300])","Entity[34034] Report(S100000[0400])","Entity[34034] Report(S100000[0500])","Entity[34034] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00100)", ,"HOSPICE OF GREATER BATON ROUGE","9063 SIEGEN LANE  SUITE A","BATON ROUGE","LA","70810"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00200)", ,"EAST BATON ROUGE"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00300)", ,"03/09/1984"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00400)", ,"06/01/1986","07/31/2002"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00500)", ,"01/01/2013","12/31/2013"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00600)", ,"191507"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00700)", ,"2"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(00900)", ,"25356","1163","8581","180","2648","29167"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01000)", ,"4", ,"4", , ,"4"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01100)", ,"1267","293","1255","293","523","2083"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01200)", ,"26627","1456","9840","473","3171","31254"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01300)", ,"579","77","374","58","146","802"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01500)", ,"46","19","26","8","22","39"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01600)", ,"521","73","341","56","138","732"
"HOSPC","hospc_2013_DATA",34034,"S100000","Line(01800)", ,"N"
