"Entity[33829] Report(D000000)", , , , , ,"Entity[33829] Report(D000000[0100])", ,"Entity[33829] Report(D000000[0300])","Entity[33829] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(00100)", , , , ,"113984"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(00200)", , , , ,"2247"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(00300)", , , , ,"51"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(00400)", ,"1438"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(00500)", ,"72950"
"HOSPC","hospc_2013_DATA",33829,"D000000","Line(01200)", , , ,"809"
